annee,population_totale,consommation_mwh
2012,57076.0,754997.0
2018,620305.2564195655,11186962.584310373
2019,624647.3932145025,11095554.19188765
2020,629019.9249670039,11003505.940717971
2021,633423.0644417728,10910813.351790102
2022,637857.0258928653,10817471.914739735
2023,642322.0250741153,10723477.087630019
2024,646818.279249634,10628824.296730533
2025,651346.0072043814,10533508.936294753
2026,655905.429254812,10437526.368335923
2027,660496.7672595956,10340871.92240138
2028,665120.2446304127,10243540.895345295
2029,669776.0863428256,10145528.551099814
2030,674464.5189472252,10046830.120444622
